session_id,event_id,timestamp,step_id,activity,object,confidence,orientation,status,source,guidance
SIM-012,EVT-007,2026-01-01T13:03:27,S006,RECORD_RESULT,observation_interface,0.95,0,CORRECT,synthetic,Result recorded. Proceed to secure the sample.
SIM-012,EVT-008,2026-01-01T13:03:28,S007,SECURE_SAMPLE,sample_chamber,0.95,0,CORRECT,synthetic,Sample secured. Proceed to complete the experiment.
SIM-012,EVT-009,2026-01-01T13:03:29,S008,COMPLETE_EXPERIMENT,experiment_controller,0.95,0,COMPLETED,synthetic,Experiment completed successfully.
SIM-013,EVT-001,2026-01-01T13:20:01,S001,CHECK_EQUIPMENT,experiment_container,0.95,0,CORRECT,synthetic,Equipment check completed. Proceed to retrieve the sample.
SIM-013,EVT-003,2026-01-01T13:20:03,S002,RETRIEVE_SAMPLE,biological_sample,0.95,0,CORRECT,synthetic,Sample retrieved. Proceed to open the sample chamber.
SIM-013,EVT-004,2026-01-01T13:20:04,S003,OPEN_CONTAINER,sample_chamber,0.95,0,CORRECT,synthetic,Sample chamber opened. Proceed to transfer the sample.
SIM-013,EVT-005,2026-01-01T13:20:05,S004,TRANSFER_SAMPLE,sample_chamber,0.95,0,CORRECT,synthetic,Sample transferred. Proceed to start the experiment.
SIM-013,EVT-006,2026-01-01T13:20:06,S005,START_EXPERIMENT,experiment_controller,0.95,0,CORRECT,synthetic,Experiment started. Proceed to record the result.
SIM-013,EVT-007,2026-01-01T13:20:07,S006,RECORD_RESULT,observation_interface,0.95,0,CORRECT,synthetic,Result recorded. Proceed to secure the sample.
SIM-013,EVT-008,2026-01-01T13:20:08,S007,SECURE_SAMPLE,sample_chamber,0.95,0,CORRECT,synthetic,Sample secured. Proceed to complete the experiment.
SIM-013,EVT-009,2026-01-01T13:20:09,S008,COMPLETE_EXPERIMENT,experiment_controller,0.95,0,COMPLETED,synthetic,Experiment completed successfully.
